Gm#,Date,,Tm,AwayTeam,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,HomeGame,Index,year
4,201704060,boxscore,ARI,SFG,W,9,3,,3-1,1, Tied,De La Rosa,Samardzija,,3:00,N,"15,308",++,True,44,2017
3,201704060,boxscore,WSN,MIA,L,3,4,10,2-1,1, Tied,Phelps,Blanton,Ramos,3:26,D,"19,418",-,True,45,2017
3,201704060,boxscore,NYM,ATL,W,6,2,,2-1,1, Tied,Harvey,Garcia,,2:28,N,"23,100",+,True,46,2017
4,201704060,boxscore,HOU,SEA,L,2,4,,3-1,1,up 1.0,Altavilla,Giles,Diaz,2:57,N,"18,362",-,True,47,2017
3,201704070,boxscore,PIT,ATL,W,5,4,,1-2,3, 1.5,Nova,Foltynewicz,Watson,3:18,D,"36,484",+,True,48,2017
4,201704070,boxscore,STL,CIN,L,0,2,,1-3,5, 2.0,Garrett,Leake,Iglesias,2:17,N,"44,653",---,True,49,2017
4,201704070,boxscore,TEX,OAK,W,10,5,,1-3,4, 1.5,Claudio,Alcantara,,2:56,N,"34,235",+,True,50,2017
5,201704070,boxscore,HOU,KCR,L,1,5,,3-2,1, Tied,Vargas,Fiers,,3:12,N,"30,491",--,True,51,2017
5,201704070,boxscore,LAA,SEA,W,5,1,,3-2,1, Tied,Chavez,Gallardo,,2:56,N,"43,911",+,True,52,2017
4,201704070,boxscore,PHI,WSN,L,6,7,,1-3,4, 2.0,Scherzer,Velasquez,Treinen,3:34,D,"45,121",---,True,53,2017
3,201704070,boxscore,CHW,MIN,L,1,3,,1-2,4, 2.5,Hughes,Holland,Kintzler,2:59,N,"14,004",-,True,54,2017
5,201704070,boxscore,TBR,TOR,W,10,8,,3-2,2, 1.0,Cedeno,Howell,Colome,3:53,N,"12,842",+,True,55,2017
5,201704070,boxscore,SDP,SFG,W,7,6,,2-3,4, 2.0,Torres,Kontos,Maurer,2:58,D,"43,441",+,True,56,2017
4,201704070,boxscore,NYM,MIA,L,2,7,,2-2,2, 1.0,Chen,Wheeler,,3:06,N,"27,891",-,True,57,2017
