Gm#,Date,,Tm,AwayTeam,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,HomeGame,Index,year
34,201705100,boxscore,MIL,BOS,W,7,4,,18-16,3, 1.5,Scahill,Kendrick,,3:37,N,"23,095",+++,True,491,2017
36,201705100,boxscore,TBR,KCR,W,12,1,,17-19,4, 6.5,Archer,Hammel,,2:49,N,"9,320",+,True,492,2017
34,201705100,boxscore,LAD,PIT,W,5,2,,20-14,2, 1.5,Maeda,Kuhl,,2:37,N,"40,719",+++++,True,493,2017
34,201705100,boxscore,HOU,ATL,W,4,2,,23-11,1,up 6.0,Musgrove,Garcia,Giles,2:49,D,"23,676",+++,True,494,2017
34,201705100,boxscore,WSN,BAL,W-wo,7,6,,22-12,1,up 5.5,Albers,Brach,,3:17,N,"32,984",+,True,495,2017
34,201705100,boxscore,TOR,CLE,W-wo,8,7,,13-21,5, 9.5,Osuna,Allen,,3:31,N,"35,115",+,True,496,2017
35,201705100,boxscore,TEX,SDP,W,4,3,,15-20,5, 8.5,Jeffress,Hand,Bush,3:24,N,"24,350",++,True,497,2017
34,201705100,boxscore,OAK,LAA,W,3,1,,16-18,3, 7.0,Triggs,Chavez,Casilla,2:55,D,"11,061",+,True,498,2017
35,201705100,boxscore,ARI,DET,W,7,1,,19-16,3, 3.0,Godley,Boyd,,2:37,N,"18,897",+,True,499,2017
33,201705100,boxscore,NYM,SFG,L,5,6,,16-17,2, 5.5,Morris,Familia,Law,3:33,D,"31,066",-,True,500,2017
33,201705100,boxscore,MIA,STL,L,5,7,,13-20,4, 8.5,Tuivailala,Garcia,Oh,3:46,N,"18,614",---,True,501,2017
37,201705110,boxscore,LAA,DET,L,1,7,,17-20,4, 8.0,Fulmer,Ramirez,,3:00,N,"30,207",--,True,502,2017
32,201705110,boxscore,CHW,MIN,L,6,7,,15-17,4, 2.5,Pressly,Holland,Kintzler,3:27,N,"16,084",-----,True,503,2017
35,201705110,boxscore,MIL,BOS,L,1,4,,18-17,3, 2.0,Kimbrel,Feliz,,3:29,D,"26,499",-,True,504,2017
36,201705110,boxscore,COL,LAD,W,10,7,,23-13,1,up 2.5,Hoffman,Ryu,Holland,3:23,N,"27,265",++,True,505,2017
35,201705110,boxscore,TOR,SEA,W,7,2,,14-21,5, 9.0,Estrada,De Jong,,2:45,N,"29,120",++,True,506,2017
32,201705110,boxscore,NYY,HOU,L,2,3,,21-11,2, 0.5,Keuchel,Pineda,Giles,3:09,N,"39,050",--,True,507,2017
36,201705110,boxscore,SFG,CIN,L,2,3,,12-24,5, 11.0,Peralta,Strickland,Iglesias,2:36,N,"41,193",-,True,508,2017
37,201705110,boxscore,TBR,KCR,L,0,6,,17-20,4, 7.0,Vargas,Odorizzi,,2:41,D,"9,340",-,True,509,2017
36,201705110,boxscore,ARI,PIT,W,2,1,,20-16,3, 3.0,Greinke,Cole,Rodney,2:34,N,"17,527",++,True,510,2017
36,201705110,boxscore,TEX,SDP,W-wo,5,2,,16-20,5, 8.5,Dyson,Maurer,,2:39,N,"22,405",+++,True,511,2017
33,201705120,boxscore,NYY,HOU,L,1,5,,21-12,2, 0.5,McCullers,Montgomery,,3:09,N,"41,150",---,True,512,2017
35,201705120,boxscore,BOS,TBR,L,4,5,,18-17,3, 4.5,Cobb,Porcello,Colome,3:24,N,"36,496",-,True,513,2017
34,201705120,boxscore,MIA,ATL,L,4,8,,13-21,4, 9.0,Foltynewicz,Urena,,3:11,N,"20,052",----,True,514,2017
36,201705120,boxscore,MIL,NYM,W,7,4,,19-17,3, 1.0,Garza,Harvey,Hughes,3:08,N,"28,306",+,True,515,2017
37,201705120,boxscore,ARI,PIT,W,11,4,,21-16,3, 2.0,Corbin,Glasnow,,2:57,N,"21,911",+++,True,516,2017
33,201705120,boxscore,CHW,SDP,L,3,6,,15-18,4, 3.5,Chacin,Gonzalez,Maurer,3:16,N,"24,194",------,True,517,2017
36,201705120,boxscore,TOR,SEA,W,4,0,,15-21,5, 8.0,Biagini,Bergman,,2:36,N,"32,865",+++,True,518,2017
34,201705120,boxscore,STL,CHC,L,2,3,,19-15,1,up 0.5,Butler,Leake,Davis,3:01,N,"47,601",-,True,519,2017
35,201705120,boxscore,KCR,BAL,W,3,2,,14-21,5, 5.5,Soria,Nuno,Herrera,2:37,N,"25,467",++,True,520,2017
38,201705120,boxscore,LAA,DET,W,7,0,,18-20,2, 8.0,Shoemaker,Zimmermann,,3:04,N,"44,311",+,True,521,2017
37,201705120,boxscore,TEX,OAK,W-wo,5,2,,17-20,4, 8.5,Kela,Casilla,,2:58,N,"35,625",++++,True,522,2017
37,201705120,boxscore,SFG,CIN,W-wo,3,2,17,13-24,5, 10.0,Gearrin,Stephenson,,5:28,N,"41,325",+,True,523,2017
37,201705120,boxscore,COL,LAD,L,2,6,,23-14,1,up 1.5,Kershaw,Chatwood,,2:53,N,"40,146",-,True,524,2017
34,201705120,boxscore,CLE,MIN,L,0,1,,18-16,2, 1.0,Santana,Tomlin,Kintzler,2:30,N,"24,452",--,True,525,2017
39,201705130,boxscore,LAA,DET,L,3,4,,18-21,3, 8.5,Wilson,Norris,Wilson,3:14,N,"40,251",-,True,526,2017
38,201705130,boxscore,ARI,PIT,L,3,4,,21-17,3, 2.0,Williams,Walker,Watson,3:00,N,"31,673",-,True,527,2017
37,201705130,boxscore,TOR,SEA,W,7,2,,16-21,5, 7.0,Leone,Vincent,,3:25,D,"42,346",++++,True,528,2017
38,201705130,boxscore,SFG,CIN,W,3,1,,14-24,4, 9.0,Moore,Bonilla,Law,2:33,D,"41,269",++,True,529,2017
36,201705130,boxscore,KCR,BAL,W,4,3,,15-21,5, 5.5,Maness,Asher,Herrera,3:04,N,"24,662",+++,True,530,2017
37,201705130,boxscore,MIL,NYM,W,11,4,,20-17,2, 1.0,Davies,Gsellman,,3:27,N,"33,849",++,True,531,2017
34,201705130,boxscore,CHW,SDP,W-wo,5,4,,16-18,4, 3.5,Robertson,Hand,,3:16,N,"29,111",+,True,532,2017
35,201705130,boxscore,WSN,PHI,W-wo,6,4,,23-12,1,up 7.0,Kelley,Ramos,,3:34,N,"31,473",++,True,533,2017
35,201705130,boxscore,STL,CHC,W,5,3,,20-15,1,up 1.0,Martinez,Lester,Oh,2:51,D,"47,882",+,True,534,2017
35,201705130,boxscore,MIA,ATL,L,1,3,,13-22,5, 10.0,Teheran,Volquez,Johnson,2:49,N,"26,692",-----,True,535,2017
38,201705130,boxscore,COL,LAD,L,0,4,,23-15,1,up 0.5,Wood,Anderson,,3:18,N,"43,534",--,True,536,2017
36,201705130,boxscore,BOS,TBR,W,6,3,,19-17,3, 3.5,Sale,Snell,Kimbrel,2:54,D,"35,447",+,True,537,2017
38,201705130,boxscore,TEX,OAK,W,6,5,,18-20,2, 8.0,Barnette,Dull,Bush,3:26,N,"37,898",+++++,True,538,2017
35,201705130,boxscore,CLE,MIN,L,1,4,,18-17,2, 2.0,Berrios,Clevinger,Kintzler,2:57,D,"28,379",---,True,539,2017
35,201705140,boxscore,CHW,SDP,W,9,3,,17-18,4, 2.5,Ynoa,Buchter,,3:16,D,"22,518",++,True,540,2017
39,201705140,boxscore,TEX,OAK,W,6,4,,19-20,2, 7.5,Alvarez,Madson,Bush,2:51,D,"35,157",++++++,True,541,2017
39,201705140,boxscore,ARI,PIT,L,4,6,10,21-18,3, 3.0,Watson,Wilhelmsen,,4:08,D,"34,088",--,True,542,2017
39,201705140,boxscore,SFG,CIN,W,8,3,,15-24,4, 9.0,Samardzija,Adleman,,2:55,D,"42,122",+++,True,543,2017
37,201705140,boxscore,KCR,BAL,W,9,8,,16-21,5, 4.5,Strahm,Bleier,Herrera,3:31,D,"30,662",++++,True,544,2017
39,201705140,boxscore,COL,LAD,W,9,6,,24-15,1,up 1.5,Senzatela,Urias,Holland,3:38,D,"41,051",+,True,545,2017
36,201705140,boxscore,STL,CHC,W,5,0,,21-15,1,up 1.0,Wainwright,Arrieta,,2:38,D,"47,925",++,True,546,2017
36,201705140,boxscore,CLE,MIN,W,8,3,,19-17,2, 1.0,Bauer,Santiago,,3:00,D,"23,099",+,True,547,2017
38,201705140,boxscore,TOR,SEA,W-wo,3,2,,17-21,5, 6.5,Tepera,Diaz,,3:17,D,"42,030",+++++,True,548,2017
37,201705140,boxscore,BOS,TBR,L,2,11,,19-18,3, 4.0,Andriese,Pomeranz,,4:32,D,"35,080",-,True,549,2017
40,201705140,boxscore,LAA,DET,W,4,1,,19-21,3, 8.0,Meyer,Verlander,Norris,3:09,D,"36,215",+,True,550,2017
36,201705140,boxscore,MIA,ATL,W,3,1,,14-22,4, 9.5,Barraclough,Dickey,Ramos,2:27,D,"17,277",+,True,551,2017
38,201705140,boxscore,MIL,NYM,W,11,9,,21-17,2, 1.0,Feliz,Reed,Knebel,3:33,D,"30,623",+++,True,552,2017
34,201705141,boxscore,NYY,HOU,W,11,6,,22-12,1,up 0.5,Warren,Harris,,3:20,D,,+,True,553,2017
36,201705141,boxscore,WSN,PHI,L,3,4,,23-13,1,up 7.5,Benoit,Kelley,Neris,3:02,D,"31,738",-,True,554,2017
35,201705142,boxscore,NYY,HOU,L,7,10,,22-13,1,up 0.5,Morton,Tanaka,,3:49,D,"47,883",-,True,555,2017
37,201705142,boxscore,WSN,PHI,W,6,5,,24-13,1,up 7.5,Turner,Neshek,Albers,3:34,N,"30,137",+,True,556,2017
40,201705150,boxscore,SFG,LAD,W,8,4,,16-24,4, 8.5,Cain,McCarthy,,3:09,N,"41,397",++++,True,557,2017
37,201705150,boxscore,MIA,HOU,L,2,7,,14-23,5, 10.0,Musgrove,Tazawa,,2:57,N,"16,448",-,True,558,2017
40,201705150,boxscore,SDP,MIL,W-wo,6,5,10,15-25,5, 9.5,Torres,Drake,,3:37,N,"15,866",+,True,559,2017
39,201705150,boxscore,SEA,OAK,W,6,5,,18-21,4, 9.0,Gallardo,Manaea,Zych,3:14,N,"15,431",+,True,560,2017
39,201705150,boxscore,TOR,ATL,L,6,10,,17-22,5, 7.0,Colon,Bolsinger,,3:15,N,"29,766",-,True,561,2017
41,201705150,boxscore,LAA,CHW,W,5,3,,20-21,2, 8.0,Chavez,Pelfrey,Norris,3:01,N,"29,445",++,True,562,2017
40,201705150,boxscore,ARI,NYM,W,7,3,,22-18,3, 2.5,De La Rosa,Robles,,3:02,N,"15,988",+,True,563,2017
37,201705150,boxscore,CLE,TBR,W,8,7,,20-17,2, 0.5,Logan,Archer,Allen,3:33,N,"14,613",++,True,564,2017
38,201705160,boxscore,KCR,NYY,L,1,7,,16-22,5, 4.5,Sabathia,Hammel,,3:02,N,"30,878",-,True,565,2017
38,201705160,boxscore,CHC,CIN,W,9,5,,19-19,3, 2.5,Lackey,Arroyo,,3:07,N,"40,653",+,True,566,2017
41,201705160,boxscore,SDP,MIL,L,2,6,,15-26,5, 10.5,Nelson,Richard,,2:41,N,"16,657",-,True,567,2017
40,201705160,boxscore,TEX,PHI,W,5,1,,20-20,2, 8.0,Darvish,Eickhoff,,2:44,N,"23,110",+++++++,True,568,2017
38,201705160,boxscore,CLE,TBR,L,4,6,,20-18,2, 0.5,Odorizzi,Salazar,Colome,3:12,N,"18,238",-,True,569,2017
37,201705160,boxscore,DET,BAL,L,11,13,13,18-19,3, 2.0,Bleier,Rodriguez,,5:19,N,"25,109",--,True,570,2017
40,201705160,boxscore,SEA,OAK,L,6,9,,18-22,4, 10.0,Madson,Cishek,,3:25,N,"13,955",-,True,571,2017
39,201705160,boxscore,PIT,WSN,L,4,8,,16-23,5, 6.0,Strasburg,Kuhl,,3:30,N,"16,992",-,True,572,2017
40,201705160,boxscore,TOR,ATL,L,5,9,,17-23,5, 8.0,Ramirez,Barnes,,3:07,D,"34,431",--,True,573,2017
41,201705160,boxscore,ARI,NYM,W,5,4,,23-18,2, 2.5,Greinke,Milone,Rodney,2:52,N,"17,471",++,True,574,2017
37,201705160,boxscore,STL,BOS,L,3,6,,21-16,1,up 0.5,Rodriguez,Lynn,Kimbrel,3:21,N,"41,514",-,True,575,2017
35,201705160,boxscore,MIN,COL,L,3,7,,19-16,1,up 0.5,Freeland,Hughes,Holland,3:13,N,"24,295",--,True,576,2017
42,201705160,boxscore,LAA,CHW,W-wo,7,6,11,21-21,2, 8.0,Petit,Robertson,,4:01,N,"36,089",+++,True,577,2017
41,201705160,boxscore,SFG,LAD,W,2,1,,17-24,4, 8.5,Blach,Avilan,Law,2:47,N,"41,366",+++++,True,578,2017
38,201705160,boxscore,MIA,HOU,L,2,12,,14-24,5, 11.0,Keuchel,Koehler,,3:00,N,"18,056",--,True,579,2017
41,201705170,boxscore,TEX,PHI,W,9,3,,21-20,2, 8.0,Cashner,Eflin,,2:48,N,"28,703",++++++++,True,580,2017
39,201705170,boxscore,CLE,TBR,L,4,7,,20-19,2, 1.0,Cobb,Tomlin,,3:20,D,"22,104",--,True,581,2017
38,201705170,boxscore,STL,BOS,L,4,5,13,21-17,2, 0.5,Abad,Tuivailala,Taylor,4:20,N,"44,365",--,True,582,2017
43,201705170,boxscore,LAA,CHW,W,12,8,,22-21,2, 8.0,Shoemaker,Gonzalez,,3:28,N,"33,234",++++,True,583,2017
42,201705170,boxscore,SFG,LAD,L,1,6,,17-25,4, 9.0,Kershaw,Cueto,,2:37,D,"41,588",-,True,584,2017
37,201705170,boxscore,ATL,TOR,W,8,4,,16-21,2, 8.0,Foltynewicz,Biagini,,2:59,N,"28,293",+++,True,585,2017
39,201705170,boxscore,CHC,CIN,W,7,5,,20-19,3, 2.0,Hendricks,Feldman,Davis,3:06,N,"38,715",++,True,586,2017
40,201705170,boxscore,PIT,WSN,W,6,1,,17-23,5, 5.5,Cole,Turner,,3:03,N,"18,803",+,True,587,2017
42,201705170,boxscore,ARI,NYM,W-wo,5,4,11,24-18,2, 2.0,Wilhelmsen,Montero,,3:30,D,"19,842",+++,True,588,2017
41,201705170,boxscore,SEA,OAK,W,4,0,,19-22,4, 10.0,Bergman,Hahn,,2:39,N,"14,117",+,True,589,2017
39,201705170,boxscore,MIA,HOU,L,0,3,,14-25,5, 11.0,McCullers,Urena,Giles,2:52,D,"24,699",---,True,590,2017
38,201705170,boxscore,DET,BAL,W,5,4,,19-19,3, 1.5,Fulmer,Jimenez,Wilson,3:15,N,"29,722",+,True,591,2017
39,201705170,boxscore,KCR,NYY,L,7,11,,16-23,5, 5.0,Pineda,Vargas,Betances,3:23,N,"22,899",--,True,592,2017
42,201705170,boxscore,SDP,MIL,L,1,3,,15-27,5, 11.0,Barnes,Maurer,Knebel,2:51,N,"17,356",--,True,593,2017
41,201705180,boxscore,PIT,WSN,W,10,4,,18-23,5, 5.5,Glasnow,Roark,,3:17,D,"27,728",++,True,594,2017
41,201705180,boxscore,OAK,BOS,W,8,3,,18-23,5, 11.0,Gray,Velazquez,,3:09,N,"12,016",+,True,595,2017
42,201705180,boxscore,SEA,CHW,W-wo,5,4,,20-22,4, 9.5,Vincent,Jennings,,3:02,N,"17,757",++,True,596,2017
42,201705180,boxscore,LAD,MIA,W,7,2,,24-18,2, 2.0,Ryu,Volquez,Jansen,3:16,N,"41,717",++,True,597,2017
40,201705180,boxscore,CHC,CIN,W,9,5,,21-19,3, 2.0,Lester,Garrett,Uehara,3:03,D,"36,023",+++,True,598,2017
43,201705180,boxscore,SDP,MIL,L,2,4,,15-28,5, 11.5,Davies,Quackenbush,Knebel,3:01,D,"14,359",---,True,599,2017
38,201705180,boxscore,ATL,TOR,L,0,9,,16-22,2, 8.0,Stroman,Teheran,,3:02,N,"25,419",-,True,600,2017
39,201705180,boxscore,DET,BAL,W,6,5,,20-19,2, 1.0,Zimmermann,Bundy,Wilson,2:53,D,"32,455",++,True,601,2017
40,201705180,boxscore,KCR,NYY,W,5,1,,17-23,5, 4.5,Duffy,Montgomery,,2:34,N,"22,803",+,True,602,2017
42,201705180,boxscore,TEX,PHI,W,8,4,,22-20,2, 7.5,Perez,Rodriguez,,3:12,D,"35,007",+++++++++,True,603,2017
36,201705181,boxscore,MIN,COL,L,1,5,,19-17,1,up 1.0,Marquez,Santana,Holland,2:53,D,"20,603",---,True,604,2017
37,201705182,boxscore,MIN,COL,W,2,0,,20-17,1,up 1.0,Berrios,Chatwood,Kintzler,2:52,N,"17,140",+,True,605,2017
42,201705190,boxscore,PIT,PHI,L,2,7,,18-24,5, 6.5,Hellickson,Williams,,2:54,N,"25,795",-,True,606,2017
41,201705190,boxscore,CIN,COL,L,6,12,,19-22,4, 5.0,Anderson,Bonilla,,3:38,N,"23,184",-------,True,607,2017
39,201705190,boxscore,STL,SFG,L,5,6,,21-18,2, 2.0,Morris,Oh,Melancon,3:15,N,"44,548",---,True,608,2017
42,201705190,boxscore,HOU,CLE,L,3,5,,29-13,1,up 6.5,Bauer,Morton,Allen,3:02,N,"36,446",-,True,609,2017
41,201705190,boxscore,CHC,MIL,L,3,6,,21-20,3, 3.0,Peralta,Montgomery,Torres,3:27,D,"36,923",-,True,610,2017
44,201705190,boxscore,TBR,NYY,W,5,4,,22-22,4, 4.5,Farquhar,Clippard,Colome,3:18,N,"21,146",+++,True,611,2017
43,201705190,boxscore,LAD,MIA,W,7,2,,25-18,2, 2.0,Wood,Nicolino,,2:58,N,"45,034",+++,True,612,2017
42,201705190,boxscore,OAK,BOS,W-wo,3,2,10,19-23,5, 10.0,Dull,Hembree,,3:12,N,"24,728",++,True,613,2017
38,201705190,boxscore,MIN,KCR,W-wo,4,3,10,21-17,1,up 1.0,Kintzler,Alburquerque,,3:20,N,"23,553",++,True,614,2017
44,201705190,boxscore,SDP,ARI,L,1,10,,15-29,5, 12.5,Walker,Weaver,Delgado,3:12,N,"22,187",----,True,615,2017
43,201705190,boxscore,SEA,CHW,L,1,2,10,20-23,4, 9.5,Robertson,Zych,,2:46,N,"32,371",-,True,616,2017
40,201705190,boxscore,NYM,LAA,W,3,0,,17-23,3, 7.5,deGrom,Nolasco,Reed,2:53,N,"36,542",+,True,617,2017
40,201705190,boxscore,DET,TEX,L,3,5,,20-20,3, 2.0,Martinez,Norris,Bush,3:23,N,"33,122",-,True,618,2017
40,201705190,boxscore,BAL,TOR,W-wo,5,3,10,24-16,2, 0.5,Givens,Grilli,,3:29,N,"31,916",+,True,619,2017
39,201705190,boxscore,ATL,WSN,W,7,4,,17-22,2, 7.0,Vizcaino,Romero,Johnson,3:32,N,"35,369",+,True,620,2017
45,201705200,boxscore,TBR,NYY,W,9,5,,23-22,3, 4.0,Andriese,Tanaka,,3:50,D,"22,864",++++,True,621,2017
43,201705200,boxscore,OAK,BOS,W,8,3,,20-23,4, 9.0,Manaea,Taylor,,3:22,D,"20,235",+++,True,622,2017
41,201705200,boxscore,DET,TEX,W,9,3,,21-20,3, 1.5,Verlander,Griffin,,2:58,N,"35,166",+,True,623,2017
42,201705200,boxscore,CIN,COL,W,12,8,,20-22,4, 4.5,Wojciechowski,Dunn,,3:32,D,"25,188",+,True,624,2017
40,201705200,boxscore,STL,SFG,L,1,3,13,21-19,2, 2.5,Strickland,Siegrist,Melancon,3:42,N,"45,072",----,True,625,2017
41,201705200,boxscore,BAL,TOR,W,7,5,,25-16,1,up 0.5,Givens,Barnes,Brach,3:22,N,"45,416",++,True,626,2017
45,201705200,boxscore,SDP,ARI,L,1,9,,15-30,5, 12.5,Ray,Perdomo,,2:56,N,"29,969",-----,True,627,2017
41,201705200,boxscore,NYM,LAA,W,7,5,,18-23,3, 6.5,Wheeler,Meyer,Reed,3:37,N,"37,264",++,True,628,2017
43,201705200,boxscore,HOU,CLE,L,0,3,,29-14,1,up 6.5,Clevinger,Fiers,Allen,2:35,D,"34,698",--,True,629,2017
44,201705200,boxscore,LAD,MIA,L,6,10,,25-19,3, 2.0,Straily,Urias,,3:27,N,"52,850",-,True,630,2017
40,201705200,boxscore,ATL,WSN,W,5,2,,18-22,2, 6.0,Krol,Scherzer,Johnson,3:20,D,"37,347",++,True,631,2017
44,201705200,boxscore,SEA,CHW,L,1,16,,20-24,5, 9.5,Pelfrey,Gallardo,,2:52,N,"33,801",--,True,632,2017
43,201705200,boxscore,PIT,PHI,W,6,3,,19-24,5, 6.0,Nova,Velasquez,Watson,2:52,D,"32,572",+,True,633,2017
42,201705210,boxscore,DET,TEX,L,2,5,,21-21,3, 2.0,Darvish,Boyd,Kela,3:35,N,"24,080",-,True,634,2017
41,201705210,boxscore,ATL,WSN,L,2,3,,18-23,2, 7.0,Strasburg,Garcia,Glover,2:50,D,"32,895",-,True,635,2017
46,201705210,boxscore,TBR,NYY,L,2,3,,23-23,4, 4.5,Sabathia,Archer,Betances,3:26,D,"20,873",-,True,636,2017
41,201705210,boxscore,STL,SFG,W,8,3,,22-19,2, 1.5,Wainwright,Cain,,2:53,D,"47,533",+,True,637,2017
44,201705210,boxscore,PIT,PHI,W,1,0,,20-24,5, 5.0,LeBlanc,Nola,Watson,2:45,D,"24,445",++,True,638,2017
43,201705210,boxscore,CIN,COL,L,4,6,,20-23,4, 4.5,Freeland,Arroyo,Holland,3:14,D,"23,352",-,True,639,2017
44,201705210,boxscore,HOU,CLE,L,6,8,,29-15,1,up 5.5,Salazar,Musgrove,,3:06,D,"33,476",---,True,640,2017
45,201705210,boxscore,SEA,CHW,L,1,8,,20-25,5, 9.5,Holland,Heston,,2:46,D,"36,782",---,True,641,2017
42,201705210,boxscore,CHC,MIL,W,13,6,,22-20,3, 2.0,Arrieta,Anderson,,3:32,D,"41,671",+,True,642,2017
42,201705210,boxscore,BAL,TOR,L,1,3,,25-17,2, 0.5,Estrada,Miley,Osuna,2:31,D,"36,632",-,True,643,2017
46,201705210,boxscore,SDP,ARI,W,5,1,,16-30,5, 12.5,Richard,Godley,,2:16,D,"27,198",+,True,644,2017
45,201705210,boxscore,LAD,MIA,W,6,3,,26-19,2, 2.0,McCarthy,Worley,,2:46,D,"44,646",+,True,645,2017
44,201705210,boxscore,OAK,BOS,L,3,12,,20-24,4, 9.0,Rodriguez,Triggs,,3:11,D,"20,691",-,True,646,2017
42,201705210,boxscore,NYM,LAA,L,5,12,,18-24,3, 7.5,Chavez,Milone,,3:17,D,"39,501",-,True,647,2017
39,201705211,boxscore,MIN,KCR,L,4,6,,21-18,1, Tied,Minor,Hughes,Herrera,3:21,D,,-,True,648,2017
40,201705212,boxscore,MIN,KCR,W,8,4,,22-18,1, Tied,Mejia,Kennedy,,2:29,D,"27,852",+,True,649,2017
42,201705220,boxscore,NYY,KCR,W,4,2,,26-16,1,up 1.5,Pineda,Vargas,Betances,2:42,N,"35,005",++,True,650,2017
42,201705220,boxscore,ATL,PIT,W,5,2,,19-23,2, 6.5,Foltynewicz,Cole,Johnson,3:23,N,"21,896",+,True,651,2017
46,201705220,boxscore,ARI,CHW,W,5,1,,27-19,2, 2.0,Greinke,Gonzalez,,2:39,N,"18,333",+,True,652,2017
43,201705220,boxscore,CHC,SFG,L,4,6,,22-21,3, 2.5,Blach,Lackey,Melancon,2:59,N,"36,204",-,True,653,2017
44,201705220,boxscore,CIN,CLE,W,5,1,,21-23,4, 4.0,Feldman,Tomlin,,2:39,N,"26,794",+,True,654,2017
45,201705220,boxscore,HOU,DET,W,1,0,,30-15,1,up 6.0,Devenski,Fulmer,Giles,2:45,N,"22,146",+,True,655,2017
43,201705220,boxscore,BAL,MIN,L,7,14,,25-18,2, 1.5,Gibson,Wilson,,3:31,N,"12,882",--,True,656,2017
42,201705220,boxscore,PHI,COL,L,1,8,,15-27,4, 10.5,Hoffman,Eickhoff,,3:03,N,"21,251",---,True,657,2017
47,201705220,boxscore,TBR,LAA,L,2,3,,23-24,4, 5.5,Ramirez,Diaz,Norris,3:37,N,"12,249",--,True,658,2017
44,201705230,boxscore,CHC,SFG,W,4,1,,23-21,2, 1.5,Lester,Cueto,,2:05,N,"32,905",+,True,659,2017
45,201705230,boxscore,OAK,MIA,L,9,11,,20-25,4, 10.5,Urena,Hahn,,3:46,N,"12,835",--,True,660,2017
47,201705230,boxscore,ARI,CHW,W,5,4,,28-19,2, 2.0,Corbin,Covey,Rodney,2:56,N,"17,865",++,True,661,2017
43,201705230,boxscore,ATL,PIT,W-wo,6,5,,20-23,2, 6.5,Jackson,Watson,,3:03,N,"25,040",++,True,662,2017
45,201705230,boxscore,MIL,TOR,L,3,4,,25-20,1,up 1.5,Barnes,Nelson,Osuna,3:02,N,"30,742",--,True,663,2017
43,201705230,boxscore,PHI,COL,L,2,8,,15-28,5, 11.5,Marquez,Eflin,,2:44,N,"17,109",----,True,664,2017
43,201705230,boxscore,NYY,KCR,L,2,6,,26-17,1,up 1.5,Duffy,Warren,,2:47,N,"35,931",-,True,665,2017
48,201705230,boxscore,TBR,LAA,L,0,4,,23-25,4, 5.5,Shoemaker,Cobb,,2:56,N,"9,014",---,True,666,2017
44,201705230,boxscore,WSN,SEA,W,10,1,,27-17,1,up 6.5,Ross,Bergman,,2:28,N,"29,650",++,True,667,2017
44,201705230,boxscore,BOS,TEX,W,11,6,,23-21,3, 3.5,Porcello,Cashner,,3:23,N,"34,769",++,True,668,2017
46,201705230,boxscore,HOU,DET,W,6,2,,31-15,1,up 7.0,McCullers,Zimmermann,,3:01,N,"23,179",++,True,669,2017
45,201705230,boxscore,CIN,CLE,L,7,8,,21-24,4, 4.0,Miller,Storen,Allen,3:16,N,"26,334",-,True,670,2017
46,201705230,boxscore,LAD,STL,W-wo,2,1,13,27-19,3, 2.5,Fields,Broxton,,4:05,N,"41,248",++,True,671,2017
43,201705230,boxscore,NYM,SDP,W,9,3,,19-24,3, 7.5,Harvey,Chacin,,2:56,N,"24,337",+,True,672,2017
44,201705230,boxscore,BAL,MIN,L,0,2,,25-19,2, 1.5,Santana,Bundy,,2:23,N,"13,294",---,True,673,2017
45,201705240,boxscore,WSN,SEA,W,5,1,,28-17,1,up 7.5,Roark,Gaviglio,,2:28,N,"29,223",+++,True,674,2017
44,201705240,boxscore,PHI,COL,L,2,7,,15-29,5, 12.5,Chatwood,Hellickson,,3:09,N,"19,160",-----,True,675,2017
45,201705240,boxscore,CLE,CIN,L,3,4,,24-21,2, 2.0,Lorenzen,Allen,Iglesias,3:07,N,"19,426",-,True,676,2017
44,201705240,boxscore,NYM,SDP,L,5,6,,19-25,3, 8.5,Buchter,Smoker,Hand,3:28,N,"23,933",-,True,677,2017
47,201705240,boxscore,HOU,DET,L,3,6,,31-16,1,up 7.0,Greene,Devenski,,2:52,N,"26,481",-,True,678,2017
46,201705240,boxscore,OAK,MIA,W,4,1,,21-25,4, 9.5,Gray,Volquez,Casilla,2:38,D,"19,738",+,True,679,2017
46,201705240,boxscore,MIL,TOR,L,4,8,,25-21,1,up 0.5,Stroman,Garza,,2:51,D,"26,607",---,True,680,2017
49,201705240,boxscore,TBR,LAA,W,5,2,,24-25,4, 5.5,Ramirez,Nolasco,Colome,2:52,N,"9,975",+,True,681,2017
47,201705240,boxscore,LAD,STL,L,1,6,,27-20,3, 3.5,Leake,Hill,,2:44,N,"40,653",-,True,682,2017
45,201705240,boxscore,BOS,TEX,W,9,4,,24-21,3, 3.5,Sale,Dyson,,2:59,N,"36,089",+++,True,683,2017
44,201705240,boxscore,ATL,PIT,L,5,12,10,20-24,2, 7.5,Rivero,Collmenter,,4:02,N,"25,981",-,True,684,2017
45,201705240,boxscore,BAL,MIN,L,3,4,,25-20,2, 2.5,Berrios,Tillman,Kintzler,3:00,D,"32,267",----,True,685,2017
45,201705240,boxscore,CHC,SFG,W,5,4,,24-21,2, 0.5,Hendricks,Moore,Davis,3:05,N,"35,617",++,True,686,2017
44,201705240,boxscore,NYY,KCR,W,3,0,,27-17,1,up 2.5,Severino,Hammel,Betances,2:40,N,"34,610",+,True,687,2017
